127.0.0.1 - - [31/Dec/2021:20:16:11 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [31/Dec/2021:20:16:33 +0900] "GET /iwantalive/images/index_26.jpg HTTP/1.1" 200 344
0:0:0:0:0:0:0:1 - - [31/Dec/2021:20:16:33 +0900] "GET /iwantalive/images/index_28.jpg HTTP/1.1" 200 369
0:0:0:0:0:0:0:1 - - [31/Dec/2021:20:16:33 +0900] "GET /iwantalive/images/index_29.jpg HTTP/1.1" 200 386
0:0:0:0:0:0:0:1 - - [31/Dec/2021:20:16:33 +0900] "GET /iwantalive/images/index_31.jpg HTTP/1.1" 200 2173
0:0:0:0:0:0:0:1 - - [31/Dec/2021:20:16:33 +0900] "GET /iwantalive/images/index_35.jpg HTTP/1.1" 200 844
0:0:0:0:0:0:0:1 - - [31/Dec/2021:20:16:33 +0900] "GET /iwantalive/images/index_33.jpg HTTP/1.1" 200 2808
0:0:0:0:0:0:0:1 - - [31/Dec/2021:20:16:33 +0900] "GET /iwantalive/images/index_34.jpg HTTP/1.1" 200 796
0:0:0:0:0:0:0:1 - - [31/Dec/2021:20:16:33 +0900] "GET /iwantalive/images/index_36.jpg HTTP/1.1" 200 530
0:0:0:0:0:0:0:1 - - [31/Dec/2021:20:16:33 +0900] "GET /iwantalive/images/index_37.jpg HTTP/1.1" 200 1211
0:0:0:0:0:0:0:1 - - [31/Dec/2021:20:16:33 +0900] "GET /iwantalive/images/index_30.jpg HTTP/1.1" 200 498
0:0:0:0:0:0:0:1 - - [31/Dec/2021:20:16:33 +0900] "GET /iwantalive/images/read_more.jpg HTTP/1.1" 200 968
0:0:0:0:0:0:0:1 - - [31/Dec/2021:20:16:33 +0900] "GET /iwantalive/images/index_23.jpg HTTP/1.1" 200 12729
0:0:0:0:0:0:0:1 - - [31/Dec/2021:20:16:33 +0900] "GET /iwantalive/images/index_22.jpg HTTP/1.1" 200 10073
0:0:0:0:0:0:0:1 - - [31/Dec/2021:20:16:33 +0900] "GET /iwantalive/images/index_24.jpg HTTP/1.1" 200 9681
0:0:0:0:0:0:0:1 - - [31/Dec/2021:20:16:42 +0900] "GET /iwantalive/notice.jsp HTTP/1.1" 500 5277
0:0:0:0:0:0:0:1 - - [31/Dec/2021:20:16:45 +0900] "GET /iwantalive/muni.jsp HTTP/1.1" 500 5265
